Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-2558.366	-2783.847	225.4803	1.419689	2.880667
6	-2559.716	-2783.191	223.4756	1.445597	4.039041
12	-2542.958	-2766.357	223.3995	1.229758	4.205195
18	-2544.493	-2768.884	224.3905	1.648759	3.392882
24	-2540.09	-2761.485	221.395	1.152859	5.36796
30	-2538.224	-2760.961	222.737	1.084162	4.660673
36	-2539.436	-2760.468	221.0317	1.249114	5.514977
42	-2543.508	-2761.895	218.3872	1.087227	7.040244
48	-2539.417	-2759.455	220.0378	1.12063	6.128973
54	-2550.85	-2773.676	222.8259	1.15924	4.568719
60	-2558.252	-2780.328	222.0759	1.206483	4.96127
66	-2546.387	-2769.616	223.229	1.196523	4.320598
72	-2548.399	-2769.709	221.3096	1.103436	5.442214
78	-2539.566	-2760.735	221.1683	1.103436	5.519964
84	-2538.938	-2759.858	220.9199	1.103436	5.656376
90	-2538.09	-2759.062	220.9722	1.051158	5.656376
96	-2546.27	-2767.782	221.5115	1.201994	5.276545
102	-2544.574	-2766.551	221.9775	1.201251	5.018886
108	-2539.122	-2758.508	219.3858	1.121195	6.482726
114	-2536.232	-2756.91	220.6779	1.01828	5.835569
120	-2535.225	-2756.937	221.7119	1.120408	5.210893
126	-2532.1	-2754.579	222.4788	1.229324	4.723881
132	-2548.35	-2771.448	223.0976	1.3675	4.298213
138	-2560.061	-2782.177	222.1155	1.263923	4.907307
144	-2548.368	-2771.695	223.327	1.446822	4.123021
150	-2535.757	-2758.184	222.4274	1.055869	4.849444
156	-2541.763	-2764.191	222.4274	1.055869	4.849444
162	-2539.352	-2761.779	222.4274	1.055869	4.849444
168	-2532.63	-2755.058	222.4274	1.055869	4.849444
174	-2532.454	-2754.881	222.4274	1.055869	4.849444
180	-2532.218	-2754.646	222.4274	1.055869	4.849444
186	-2531.352	-2753.78	222.4274	1.055869	4.849444
192	-2538.186	-2760.613	222.4274	1.055869	4.849444
198	-2542.827	-2765.255	222.4274	1.055869	4.849444
204	-2535.767	-2758.195	222.4274	1.055869	4.849444
210	-2544.286	-2763.447	219.1607	1.148221	6.58998
216	-2541.808	-2763.117	221.3088	1.210756	5.383554
222	-2534.214	-2754.326	220.1118	1.170722	6.061329
228	-2533.999	-2752.196	218.1974	1.009052	7.184359
234	-2535.989	-2759.74	223.7515	1.392035	3.91188
240	-2516.842	-2738.211	221.3691	1.174827	5.370084
246	-2524.022	-2744.346	220.3245	1.224659	5.915888
252	-2530.867	-2751.416	220.5486	1.201909	5.805807
258	-2532.248	-2754.011	221.763	1.244345	5.113975
264	-2526.333	-2747.79	221.4576	1.244345	5.282939
270	-2533.242	-2753.689	220.4476	1.187098	5.869132
276	-2532.441	-2753.597	221.1565	1.260964	5.439787
282	-2541.841	-2762.282	220.4415	0.9348078	6.010207
288	-2542.953	-2763.175	220.2227	1.153676	6.010207
294	-2539.543	-2759.935	220.3924	1.195931	5.894476
300	-2541.093	-2760.826	219.7324	1.195931	6.254107
306	-2536.599	-2758.062	221.4624	1.239616	5.282864
312	-2532.418	-2753.017	220.5983	1.336699	5.704796
318	-2528.751	-2751.682	222.9313	1.338012	4.408782
324	-2538.017	-2758.494	220.4766	1.258367	5.814351
330	-2536.759	-2760.095	223.3361	1.3973	4.146015
336	-2538.794	-2762.425	223.631	1.258944	4.056894
342	-2541.595	-2762.082	220.4869	1.088124	5.901778
348	-2544.726	-2766.004	221.278	0.9999171	5.516542
354	-2532.421	-2751.518	219.0972	1.012328	6.697781
360	-2532.86	-2751.711	218.8507	1.012328	6.830873
